Age Range,Industry,Job Title,Annual Salary,Additional Monetary Compensation,Currency,Country,State,City,Years of Professional Experience Overall,Years of Professional Experience in Field,Highest Level of Education Completed,Gender
25-34,Education (Higher Education),Research and Instruction Librarian,55000,0,USD,United States,Massachusetts,Boston,5-7 years,5-7 years,Master's degree,Woman
25-34,Computing or Tech,Change & Internal Communications Manager,54600,4000,GBP,United Kingdom,Unknown,Cambridge,8 - 10 years,5-7 years,College degree,Non-binary
25-34,Nonprofits,Program Manager,62000,3000,USD,United States,Wisconsin,Milwaukee,8 - 10 years,5-7 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Accounting Manager,60000,7000,USD,United States,South Carolina,Greenville,8 - 10 years,5-7 years,College degree,Woman
25-34,Publishing,Publishing Assistant,33000,2000,USD,United States,South Carolina,Columbia,2 - 4 years,2 - 4 years,College degree,Woman
45-54,Computing or Tech,Systems Analyst,112000,10000,USD,United States,Missouri,St. Louis,21 - 30 years,21 - 30 years,College degree,Woman
35-44,"Accounting, Banking & Finance",Senior Accountant,45000,0,USD,United States,Florida,Palm Coast,21 - 30 years,21 - 30 years,College degree,Woman
25-34,Nonprofits,Office Manager,47500,0,USD,United States,Unknown,"Boston, MA",5-7 years,5-7 years,College degree,Woman
35-44,Education (Higher Education),Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity,62000,0,USD,United States,Pennsylvania,Scranton,11 - 20 years,5-7 years,PhD,Woman
35-44,"Accounting, Banking & Finance",Manager of Information Services,100000,0,USD,United States,Michigan,Detroit,11 - 20 years,11 - 20 years,College degree,Man
25-34,Law,Legal Aid Staff Attorney,52000,0,USD,United States,Minnesota,Saint Paul,2 - 4 years,2 - 4 years,Unknown,Woman
35-44,Utilities & Telecommunications,Quality And Compliance Specialist,24000,500,GBP,United Kingdom ,Unknown,Lincoln,11 - 20 years,5-7 years,College degree,Man
35-44,Business or Consulting,Executive Assistant,85000,5000,USD,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,Some college,Woman
35-44,Business or Consulting,Senior Manager,98000,1000,USD,United States,Georgia,Atlanta,11 - 20 years,2 - 4 years,Master's degree,Woman
25-34,Health care,Data Programmer Analyst,74000,0,USD,United States,Pennsylvania,Philadelphia,5-7 years,5-7 years,Master's degree,Woman
35-44,Government and Public Administration,Researcher,96000,1000,USD,United States,Ohio,Dayton,8 - 10 years,2 - 4 years,PhD,Woman
25-34,Public Library,Teen Librarian ,44500,0,USD,United States,Florida,Bradenton,5-7 years,2 - 4 years,Unknown,Woman
35-44,Education (Higher Education),Communications Specialist,60000,0,USD,United States,Michigan,Ann Arbor,11 - 20 years,1 year or less,Master's degree,Woman
35-44,Law,Bookkeeper/Billing Manager,48000,4000,USD,United States,Maryland,Silver Spring,11 - 20 years,2 - 4 years,College degree,Woman
35-44,Media & Digital,Editor,125000,0,USD,United States,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,"Accounting, Banking & Finance",Accounting Manager,110000,15000,USD,United States,Virginia,Richmond,21 - 30 years,11 - 20 years,College degree,Woman
35-44,Education (Higher Education),Senior IRB Analyst,68000,0,USD,United States,North Carolina,Research Triangle,5-7 years,2 - 4 years,Master's degree,Woman
18-24,Media & Digital,Reporter,41000,100,USD,United States,Michigan,Kalamazoo,2 - 4 years,2 - 4 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Senior Administrator ,76000,10000,USD,United States,New York,Manhattan,5-7 years,2 - 4 years,College degree,Woman
35-44,Government and Public Administration,Staff Services Manager II,78000,0,USD,United States,California,Sacramento,8 - 10 years,5-7 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Receptionist,37000,0,USD,United States,Texas,Dallas,2 - 4 years,2 - 4 years,College degree,Woman
45-54,Engineering or Manufacturing,Lead Engineer,100000,50000,USD,United States,Georgia,waynesboro,21 - 30 years,21 - 30 years,College degree,Woman
35-44,"Marketing, Advertising & PR",Senior Copywriter,35000,6000,GBP,United Kingdom,Unknown,Liverpool,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Government and Public Administration,Manager of Data Integrity and Prospect Research,65000,0,USD,United States,Virginia,Richmond,5-7 years,5-7 years,College degree,Man
25-34,Computing or Tech,Principal Software Engineer,187500,5000,USD,United States,Pennsylvania,Pittsburgh,8 - 10 years,5-7 years,College degree,Woman
25-34,Computing or Tech,Intelligence Analyst,110000,20000,USD,United States,Virginia,"Arlington, VA",8 - 10 years,8 - 10 years,Master's degree,Man
25-34,Nonprofits,Project Manager,66625,1500,USD,United States,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman
35-44,Computing or Tech,Mobile developer,144600,2500,USD,United States,Massachusetts,Boston,5-7 years,5-7 years,PhD,Woman
35-44,Computing or Tech,Product Design Director,200850,40000,USD,United States,North Carolina,Chapel Hill,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Engineering or Manufacturing,Engineering specialist,120000,1500,CAD,Canada,Unknown,Vancouver,11 - 20 years,8 - 10 years,College degree,Woman
25-34,Retail,"Manager, Total Rewards",97500,10000,CAD,Canada,Unknown,Toronto,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Education (Primary/Secondary),Science Teacher (Public High School),53000,1000,USD,United States,Minnesota,Apple Valley,5-7 years,1 year or less,Master's degree,Woman
25-34,"Marketing, Advertising & PR","Senior Manager, Programmatic",95000,10000,USD,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman
35-44,Computing or Tech,Managed Services Sales Coordinator,72000,3000,USD,United States,Michigan,Troy,11 - 20 years,5-7 years,Master's degree,Woman
35-44,Media & Digital,Editor,52000,0,CAD,Canada,Unknown,Toronto,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Engineering or Manufacturing,Water Resources Engineer,106000,0,USD,United States,Massachusetts,Boston,21 - 30 years,11 - 20 years,Master's degree,Woman
25-34,Business or Consulting,Account Supervisor,100500,3000,USD,United States,District of Columbia,Washington,11 - 20 years,5-7 years,College degree,Woman
25-34,Law,Legal Secretary,33200,0,USD,United States,New Jersey,Linden,8 - 10 years,2 - 4 years,Some college,Woman
35-44,Government and Public Administration,Policy Lead,52000,0,GBP,United Kingdom,Unknown,Bristol,11 - 20 years,11 - 20 years,Master's degree,Woman
65 or over,Property or Construction,Safety Director,104000,25000,USD,United States,Georgia,Atlanta,41 years or more,21 - 30 years,College degree,Man
25-34,Education (Higher Education),Research Programmer,70000,0,USD,United States,Rhode Island,Providence,5-7 years,2 - 4 years,Master's degree,Non-binary
25-34,Nonprofits,"Manager, Natural Climate Solutions Development",84000,8400,USD,United States,District of Columbia,District of Columbia,5-7 years,5-7 years,Master's degree,Woman
35-44,Health care,AR Manager,53000,0,USD,United States,Illinois,Bloomington,21 - 30 years,11 - 20 years,Master's degree,Woman
25-34,Computing or Tech,Technical specialist,34000,2000,USD,United States,Minnesota,Minneapolis,5-7 years,5-7 years,College degree,Woman
25-34,Government and Public Administration,City Research Scientist II,87000,0,USD,United States,New York,New York City,5-7 years,2 - 4 years,Master's degree,Man
35-44,Aerospace contracting,Project engineer ,122000,3600,USD,United States,Unknown,Colorado Springs,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Insurance,Pricing Analyst,45000,2000,GBP,United Kingdom,Unknown,Southampton,5-7 years,2 - 4 years,Master's degree,Woman
35-44,Nonprofits,Supervisory Archivist,71000,0,USD,United States,New York,NYC (remotely),11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,Education (Primary/Secondary),High School Teacher at an independent school,75000,0,USD,United States,Georgia,Atlanta,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Education (Higher Education),Manager of Market Research and Data,80000,0,USD,United States,North Carolina,Raleigh,21 - 30 years,11 - 20 years,Master's degree,Woman
25-34,Art & Design,Senior UX Designer,90000,1000,USD,United States,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,College degree,Woman
35-44,Engineering or Manufacturing,Senior Engineer ,105000,13000,USD,United States ,Pennsylvania,Philadelphia (suburbs),8 - 10 years,5-7 years,College degree,Woman
35-44,Nonprofits,Office Administrator,60000,0,CAD,Canada,Unknown,"Kitchener, Ontario",11 - 20 years,11 - 20 years,High School,Man
35-44,Education (Higher Education),Digital Archivist,65000,0,USD,United States,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Woman
25-34,Business or Consulting,Associate Program Manager,85000,8500,USD,United States,Illinois,Chicago,5-7 years,2 - 4 years,Master's degree,Woman
25-34,Energy,Fuel Efficiency Program Analyst,76000,0,USD,United States ,District of Columbia,Washington,8 - 10 years,5-7 years,College degree,Woman
55-64,Business or Consulting,Senior Vice President of Marketing,180000,60000,USD,United States,Massachusetts,Boston,31 - 40 years,11 - 20 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Accounting Manager,90000,0,USD,United States,Tennessee,Nashville,5-7 years,5-7 years,Master's degree,Woman
25-34,Government and Public Administration,Technical Assistant,19300,0,GBP,United Kingdom,Unknown,"Newcastle, UK",5-7 years,5-7 years,Some college,Man
55-64,Business or Consulting,Senior Administrative Assistant and Project Specialist,65000,5000,USD,United States,Washington,Seattle,31 - 40 years,11 - 20 years,Master's degree,Woman
45-54,Computing or Tech,senior web application developer,98166,0,USD,United States,Indiana,Indianapolis,21 - 30 years,21 - 30 years,College degree,Man
25-34,Nonprofits,Program & Administrative Assistant,47700,2000,USD,United States,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman
55-64,Computing or Tech,Chief Engineer,87000,8000,USD,United States,Ohio,Solon,31 - 40 years,31 - 40 years,Some college,Man
25-34,Education (Higher Education),Administrative Support Assistant,39635,305,USD,United States,Florida,Gainesville,2 - 4 years,2 - 4 years,College degree,Woman
45-54,Education (Primary/Secondary),Executive Secretary/Secretary to Board of School Trustees,47255,0,USD,United States,Indiana,Lafayette,31 - 40 years,21 - 30 years,Some college,Woman
35-44,Property or Construction,Senior Project Manager,196000,10000,USD,United States,New York,New York,11 - 20 years,11 - 20 years,College degree,Man
45-54,Health care,Customer Service Representative,34361,0,USD,United States,Arizona,Phoenix,21 - 30 years,11 - 20 years,College degree,Woman
45-54,Engineering or Manufacturing,Senior Device Engineer,150000,20000,USD,United States,Colorado,Boulder,21 - 30 years,21 - 30 years,College degree,Woman
25-34,Hospitality & Events,Graphic Designer,75000,0,USD,United States,New York,New York City,5-7 years,5-7 years,College degree,Woman
25-34,Computing or Tech,Senior Financial Analyst,107220,16083,USD,United States,Texas,Austin,8 - 10 years,5-7 years,Master's degree,Woman
45-54,Education (Higher Education),Professor,95000,10000,USD,United States,Michigan,Detroit,21 - 30 years,11 - 20 years,PhD,Man
25-34,"Accounting, Banking & Finance",Finance Manager,100000,5000,USD,United States,New York,New York,5-7 years,5-7 years,Master's degree,Woman
35-44,Education (Higher Education),Medical Education Director,119000,2500,USD,United States,California,Prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman
45-54,"Accounting, Banking & Finance",Finance acountant,66000,5000,GBP,United Kingdom,Unknown,Glasgow,21 - 30 years,21 - 30 years,Master's degree,Woman
35-44,Transport or Logistics,Program manager,60000,3000,EUR,Netherlands,Unknown,The hague,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Education (Higher Education),Assistant Professor of Law,145000,15000,USD,United States,New York,New York City,2 - 4 years,2 - 4 years,PhD,Woman
25-34,"Accounting, Banking & Finance",investment advisor,95000,10000,CAD,Canada,Unknown,Calgary,2 - 4 years,2 - 4 years,College degree,Woman
25-34,"Marketing, Advertising & PR",Content Writer,48000,2000,USD,United States,Missouri,Kansas City,5-7 years,5-7 years,Master's degree,Woman
45-54,"Accounting, Banking & Finance",Assistant Director of Finance,75000,10000,USD,United States,Illinois,Chicago,21 - 30 years,21 - 30 years,College degree,Woman
35-44,Media & Digital,Digital Marketing Specialist,42000,0,USD,United States,Pennsylvania,Scranton,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Nonprofits,Archivist,54000,100,USD,United States,Iowa,Dubuque,21 - 30 years,8 - 10 years,Master's degree,Woman
45-54,Government and Public Administration,Head of Public Sector Data Sharing ,50870,0,GBP,United Kingdom,Unknown,Cardiff,21 - 30 years,11 - 20 years,Master's degree,Woman
55-64,Medical Devices,QC Supervisor,60000,500,USD,United States,California,San Diego,31 - 40 years,31 - 40 years,College degree,Woman
55-64,Nonprofits,Content Development Manager,101500,0,USD,United States,District of Columbia,Washington,31 - 40 years,21 - 30 years,College degree,Woman
25-34,Academic research (Psychology),Clinical Research Assistant II,36883,150,USD,United States,Massachusetts,Belmont,2 - 4 years,2 - 4 years,College degree,Woman
25-34,Media & Digital,news editor,85000,0,USD,United States,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Education (Higher Education),Senior Administrative Assistant ,62000,0,USD,United States,Massachusetts,Cambridge,5-7 years,5-7 years,College degree,Woman
35-44,Computing or Tech,Product Manager,130000,0,USD,United States,Unknown,Philadelphia ,11 - 20 years,11 - 20 years,College degree,Man
25-34,Business or Consulting,"Associate Manager, Education",71000,3000,USD,United States,New York,New York City,5-7 years,5-7 years,College degree,Woman
25-34,public library,Senior Librarian,63000,0,USD,United States,Virginia,Manassas,5-7 years,5-7 years,Master's degree,Woman
35-44,Engineering or Manufacturing,Project Estimator,95000,5000,USD,United States,Michigan,Detroit Metro area,21 - 30 years,21 - 30 years,College degree,Woman
35-44,Surveying ,Accounts manager ,85000,0,AUD/NZD,United States,Unknown,Perth,11 - 20 years,8 - 10 years,Master's degree,Man
35-44,Nonprofits,Customer Advocate,35000,3000,USD,United States,Pennsylvania,Newtown Square,11 - 20 years,11 - 20 years,Some college,Woman
18-24,Hospitality & Events,Customer Service Specialist,33280,500,USD,United States,Florida,"Small city, remote, national company",5-7 years,2 - 4 years,College degree,Non-binary
35-44,"Accounting, Banking & Finance",Accounts Payable Manager,56000,2500,USD,United States,Tennessee,Memphis,11 - 20 years,8 - 10 years,Some college,Woman
35-44,Education (Higher Education),Editor,62000,0,USD,United States,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Nonprofits,Program Associate,63000,1000,USD,United States,District of Columbia,DC,5-7 years,2 - 4 years,College degree,Woman
25-34,Recruitment or HR,Senior People Advisor,45000,10000,GBP,United Kingdom,Unknown,London,11 - 20 years,8 - 10 years,College degree,Woman
25-34,Education (Higher Education),English as a Second Language Teacher,18000,0,EUR,Spain,Unknown,N/A,8 - 10 years,5-7 years,College degree,Woman
35-44,Nonprofits,Online Sales Support Manager,86000,6000,USD,United States,Unknown,New York ,11 - 20 years,8 - 10 years,College degree,Woman
18-24,PhD,PhD Candidate,19000,0,GBP,United Kingdom,Unknown,Cambridge,2 - 4 years,1 year or less,Master's degree,Man
55-64,Biopharma,RIM Manager,114000,30000,USD,United States,Massachusetts,Cambridge,21 - 30 years,8 - 10 years,College degree,Man
45-54,Insurance,Senior Client Service Representative,73000,0,USD,United States,Colorado,Denver,31 - 40 years,31 - 40 years,High School,Woman
35-44,Nonprofits,Funding Manager,54000,0,GBP,United Kingdom,Unknown,London,11 - 20 years,11 - 20 years,College degree,Woman
45-54,Health care,Clinical analyst,100000,0,USD,United States,Georgia,Gainesville,21 - 30 years,11 - 20 years,Master's degree,Woman
18-24,Government and Public Administration,Policy Analyst ,60129,3000,USD,United States,District of Columbia,Washington DC,2 - 4 years,1 year or less,Master's degree,Woman
45-54,STEM research,Research Scientist,135000,0,USD,United States,Texas,San Antonio,11 - 20 years,11 - 20 years,PhD,Woman
25-34,"Accounting, Banking & Finance",Senior Accountant,60000,0,USD,United States,Ohio,Columbus,5-7 years,5-7 years,Master's degree,Woman
35-44,Nonprofits,Administrative Assistant,37000,0,USD,United States,Ohio,Shaker Hts,11 - 20 years,5-7 years,College degree,Woman
25-34,Engineering or Manufacturing,User experience specialist,85000,3000,USD,United States,South Carolina,Charleston,5-7 years,5-7 years,College degree,Woman
35-44,Media & Digital,Self-employed writer,45000,20000,USD,United States,Texas,Austin,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Nonprofits,Director of Development,92000,0,USD,United States,Massachusetts,Boston,8 - 10 years,5-7 years,Master's degree,Woman
25-34,Engineering or Manufacturing,Production Technician,65000,4000,USD,United States,Wisconsin,Madison,5-7 years,2 - 4 years,College degree,Man
35-44,"Marketing, Advertising & PR",Graphic Designer,35000,0,USD,United States,Indiana,Mishawaka,11 - 20 years,11 - 20 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Compliance Officer,74000,1000,USD,United States,Oklahoma,Tulsa,8 - 10 years,5-7 years,College degree,Woman
25-34,Engineering or Manufacturing,Director of Intelligence,102500,20000,USD,United States,Florida,Tampa,5-7 years,5-7 years,College degree,Man
25-34,Government and Public Administration,Program Analyst,117500,1500,USD,United States,Unknown,Washington DC,8 - 10 years,5-7 years,Master's degree,Unknown
45-54,Computing or Tech,Software Development Manager,140000,5000,USD,United States,Colorado,Denver,21 - 30 years,11 - 20 years,Some college,Woman
35-44,Architecture,Project Architect,58000,4000,USD,United States,New Jersey,Lambertville,11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,"Marketing, Advertising & PR",Brand Consultant,400000,0,USD,United States,New York,Chatham,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Nonprofits,HR director,61200,0,USD,United States,Illinois,Skokie,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,"Marketing, Advertising & PR",Marketing Director ,85000,10000,GBP,United Kingdom ,Unknown,London ,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Recruitment or HR,Talent Acquisition Specialist,66000,0,USD,United States,Georgia,Alpharetta,2 - 4 years,2 - 4 years,College degree,Woman
35-44,Computing or Tech,technical support specialist,70000,0,USD,United States,Texas,Austin,8 - 10 years,5-7 years,College degree,Woman
45-54,Property or Construction,CAD Manager,75500,5000,USD,United States,Florida,Northeast Florida,21 - 30 years,11 - 20 years,Some college,Woman
25-34,"Marketing, Advertising & PR",Content Strategist and Writer,57000,0,USD,United States,Virginia,Richmond,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Health care,Midwife,31000,1000,GBP,United Kingdom,Unknown,Brighton,2 - 4 years,1 year or less,Master's degree,Woman
35-44,"Marketing, Advertising & PR",Associate Creative Director,215000,10000,USD,United States,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Academic Medicine ,Administrative Specialist,55000,2500,USD,United States,Illinois,Chicago,8 - 10 years,5-7 years,College degree,Man
45-54,Law,Senior Corporate Counsel,220000,0,USD,United States,California,San Francisco,11 - 20 years,11 - 20 years,PhD,Woman
35-44,Education (Higher Education),Associate Director ,63000,2000,USD,United States ,Texas,El Paso,11 - 20 years,8 - 10 years,Unknown,Woman
25-34,Media & Digital,UX designer,36000,0,EUR,France,Unknown,Lyon,2 - 4 years,2 - 4 years,Master's degree,Woman
25-34,Engineering or Manufacturing,Product Engineer,57000,0,USD,United States,Washington,Seattle,5-7 years,5-7 years,College degree,Woman
35-44,Computing or Tech,Senior Technical Writer,83000,8000,USD,United States,California,San Diego,8 - 10 years,5-7 years,College degree,Woman
35-44,Nonprofits,Senior Director,90000,0,USD,United States,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,College degree,Woman
35-44,Hospitality & Events,Hotel Sales Manager,66950,0,USD,United States,Indiana,Indianapolis,8 - 10 years,5-7 years,College degree,Woman
25-34,Government and Public Administration,Planner,76000,0,USD,United States,California,Merced,2 - 4 years,2 - 4 years,College degree,Woman
25-34,Engineering or Manufacturing,Principal Engineer,52000,6000,GBP,United Kingdom,Unknown,Aberdeen,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Nonprofits,Information and Program Manager,70000,5000,USD,United States,Pennsylvania,Pittsburgh,8 - 10 years,5-7 years,Master's degree,Woman
25-34,Education (Higher Education),Assistant Professor,60000,2500,USD,United States,Unknown,Birmingham,2 - 4 years,2 - 4 years,PhD,Non-binary
35-44,Engineering or Manufacturing,Media and PR,80000,0,USD,United States,Nebraska,Omaha,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Nonprofits,Technical assistance provider,70000,0,USD,United States,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Computing or Tech,Strategic Operations and Programme Manager,90000,0,GBP,United Kingdom,Unknown,London,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Education (Higher Education),"Assistant Director, Student Affairs",50000,0,USD,United States,New York,Westchester/NYC,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Hospitality & Events,Director of Client Services,85000,0,USD,United States,New York,New York City,11 - 20 years,5-7 years,College degree,Woman
35-44,Retail,Loss prevention manager,87000,15000,USD,United States,California,San Jose,8 - 10 years,2 - 4 years,High School,Woman
35-44,Commercial Real Estate ,Administrative Associate,55000,5000,USD,United States,Texas,Dallas,11 - 20 years,5-7 years,Some college,Woman
55-64,Law,Attorney,275000,0,USD,United States,Minnesota,Minneapolis,31 - 40 years,31 - 40 years,Master's degree,Woman
35-44,Engineering or Manufacturing,Software engineer,139000,9000,USD,United states,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Law,Paralegal / Legal Assistant,54080,500,USD,United States,Michigan,Grandville,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Insurance,Manager & Actuary,170000,30000,USD,United States,Unknown,New York,11 - 20 years,8 - 10 years,Master's degree,Woman
45-54,Education (Primary/Secondary),Librarian,70000,1000,USD,United States,Texas,Houston,21 - 30 years,11 - 20 years,Master's degree,Man
25-34,Nonprofits,Communications Associate,53000,0,USD,United States,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman
18-24,Engineering or Manufacturing,Graduate Research Assitant,25700,0,USD,United States,Indiana,West Lafayette,5-7 years,5-7 years,College degree,Woman
25-34,Politics,Deputy C-level,105000,0,USD,United States,Unknown,"Washington, DC",8 - 10 years,8 - 10 years,College degree,Woman
35-44,Government and Public Administration,EOS,95000,2000,USD,United States,New York,New York,11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,Animal Health Product Manufacturing,Sr Associate - Quality Assurance,75000,7500,USD,United States,Indiana,Clinton,11 - 20 years,8 - 10 years,College degree,Woman
25-34,Property or Construction,Assistant to Property Managers,31500,0,USD,United States,South Carolina,Columbia,8 - 10 years,2 - 4 years,College degree,Woman
35-44,Health care,Principal Statistical Programmer,165000,30000,USD,United States ,Massachusetts,Boston ,21 - 30 years,21 - 30 years,College degree,Non-binary
25-34,"Accounting, Banking & Finance",Reporting Analyst ,45760,0,USD,United States,California,Anaheim,11 - 20 years,2 - 4 years,Some college,Woman
25-34,"Marketing, Advertising & PR",Communications Manager,86000,0,USD,United States,Florida,Orlando,5-7 years,5-7 years,College degree,Woman
25-34,Engineering or Manufacturing,Project Manager,78240,0,CAD,Canada,Unknown,Calgary,5-7 years,5-7 years,Master's degree,Woman
25-34,Education (Higher Education),Admissions Advisor,56000,0,USD,United States,Wisconsin,Appleton,8 - 10 years,5-7 years,Master's degree,Woman
25-34,Educational Technology - hybrid between book publishing and technology really,Business Development Specialist,67000,2000,USD,United States,Minnesota,Bloomington,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Property or Construction,Assistant Project Manager,55000,0,USD,United States ,Florida,Jacksonville,5-7 years,2 - 4 years,College degree,Woman
35-44,Computing or Tech,Supply chain manager,125000,50000,USD,United States,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman
45-54,Utilities & Telecommunications,Land Analyst,60320,0,USD,United States,Pennsylvania,Pittsburgh,21 - 30 years,8 - 10 years,Some college,Woman
35-44,Pharmaceuticals,Regulatory affairs manager ,125000,18750,USD,United States,North Carolina,Durham,5-7 years,2 - 4 years,PhD,Woman
25-34,Health care,NP-PHC,98000,0,CAD,Canada,Unknown,Rural Ontario,8 - 10 years,2 - 4 years,Master's degree,Woman
35-44,Government and Public Administration,Administrative Assistant,49000,0,USD,United States,Oregon,Newport,11 - 20 years,11 - 20 years,Some college,Woman
35-44,Nonprofits,Director of Development,120000,0,USD,United States,California,Los Angeles,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Education (Higher Education),Teaching Assistant,28000,0,USD,United States,New Jersey,New Brunswick,2 - 4 years,2 - 4 years,Master's degree,Non-binary
35-44,Education (Higher Education),Advancement Accounting Assistant,40575,0,USD,United States,Washington,Spokane,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Nonprofits,Senior monitoring & evaluation adviser ,75500,0,USD,United States,North Carolina,Durham,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,"Marketing, Advertising & PR",Copy supervisor,115000,12000,USD,United States,Pennsylvania,Philadelphia,5-7 years,5-7 years,College degree,Woman
25-34,Computing or Tech,Visual Designer,110000,1400,USD,United States,Illinois,Chicago (remote) ,5-7 years,5-7 years,College degree,Woman
18-24,Agriculture or Forestry,Engineering Student Trainee,29000,0,USD,United States,South Dakota,Rapid City,1 year or less,1 year or less,Some college,Woman
55-64,Nonprofits,Information Technology Specialist,47250,0,USD,United States,West Virginia,"Huntington (remote, HQ is in Charleston)",11 - 20 years,5-7 years,Master's degree,Woman
35-44,Engineering or Manufacturing,Sr. Piping Designer,96000,4000,USD,United States,Minnesota,St. Paul,11 - 20 years,11 - 20 years,Some college,Man
35-44,Computing or Tech,Network Managet,260000,0,EUR,Germany,Unknown,Düsseldorf,21 - 30 years,11 - 20 years,High School,Non-binary
25-34,Philanthropy,Senior Program Support Associate,72000,0,USD,United States,District of Columbia,Washington,2 - 4 years,2 - 4 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Senior Operations Manager,132500,55000,USD,United States,New York,New York City,8 - 10 years,8 - 10 years,College degree,Woman
45-54,Computing or Tech,"IT Manager, Financial Systems",124000,0,USD,United States,Tennessee,Remote,21 - 30 years,21 - 30 years,Master's degree,Woman
45-54,"Marketing, Advertising & PR",Sr Analytic Consultant,108000,0,USD,United States,Minnesota,Minneapolis,21 - 30 years,21 - 30 years,College degree,Man
35-44,"Accounting, Banking & Finance",Principal Consultant ,110000,5000,USD,United States,North Carolina,Charlotte ,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Engineering or Manufacturing,Geostructural Design Engineer,110000,14000,USD,United States,Unknown,Philadelphia,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Government and Public Administration,Editor,91000,2000,USD,United States,District of Columbia,Washington,11 - 20 years,5-7 years,PhD,Woman
35-44,Engineering or Manufacturing,QC Chemistry Manager,117000,17550,USD,United States,Minnesota,Chaska,11 - 20 years,11 - 20 years,Master's degree,Woman
45-54,Insurance,Supervisor ,59000,7000,USD,United States,Unknown,"Omaha, NE",21 - 30 years,21 - 30 years,Some college,Woman
35-44,Education (Higher Education),Research administrator ,71697,0,USD,United States,Pennsylvania,Philadelphia,8 - 10 years,5-7 years,Master's degree,Woman
45-54,Real Estate,Senior Property Manager,90000,9000,USD,United States,California,Sacramento,31 - 40 years,21 - 30 years,Some college,Woman
25-34,Education (Higher Education),Admin Assistant,52000,0,USD,United States,New York,New York,5-7 years,5-7 years,Master's degree,Non-binary
35-44,Transport or Logistics,Executive Administrator ,80000,5000,USD,United States,New York,New York ,21 - 30 years,21 - 30 years,High School,Woman
25-34,Transport or Logistics,HR Business Partner,56000,0,USD,United States,Illinois,Joliet,8 - 10 years,5-7 years,Some college,Woman
45-54,Engineering or Manufacturing,Product Support Representative,47840,2000,USD,United States,California,Shingle Springs,21 - 30 years,21 - 30 years,College degree,Man
45-54,Consulting,Senior Hazard Mitigation Manager,150000,20000,USD,United States,Florida,Plant City,21 - 30 years,11 - 20 years,Master's degree,Woman
45-54,Computing or Tech,Senior Manager of Customer Enablement,150000,0,USD,United States,Massachusetts,Boston,21 - 30 years,21 - 30 years,Master's degree,Woman
